difficulty	qid	sid	text	type	dep	par	answer
Easy	blogs-03-2	blogs-03	What rolled in on Monday, September 1, in the morning?	Story	"1	What	what	_	WDT	_	2	nsubj	_	_
2	rolled	roll	_	VBD	_	0	root	_	_
3	in	in	_	IN	_	2	compound:prt	_	_
4	on	on	_	IN	_	5	case	_	_
5	Monday	Monday	_	NNP	_	2	nmod	_	_
6	,	,	_	,	_	2	punct	_	_
7	September	September	_	NNP	_	2	nmod:tmod	_	_
8	1	1	_	CD	_	7	nummod	_	_
9	,	,	_	,	_	2	punct	_	_
10	in	in	_	IN	_	12	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	morning	morning	_	NN	_	2	nmod	_	_
13	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WDT What)) (SQ (VP (VBD rolled) (PP (IN in) (PP (IN on) (NP (NP (NNP Monday)) (, ,) (NP (NNP September) (CD 1)) (, ,)))) (PP (IN in) (NP (DT the) (NN morning))))) (. ?)))	the storm
Easy	blogs-03-3	blogs-03	What started kicking up?	Story	"1	What	what	_	WDT	_	2	nsubj	_	_
2	started	start	_	VBD	_	0	root	_	_
3	kicking	kick	_	VBG	_	2	xcomp	_	_
4	up	up	_	RP	_	3	compound:prt	_	_
5	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WDT What)) (SQ (VP (VBD started) (S (VP (VBG kicking) (PRT (RP up)))))) (. ?)))	winds
Easy	blogs-03-4	blogs-03	Who came to Baton Rouge yesterday to assess the damage?	Story	"1	Who	who	_	WP	_	2	nsubj	_	_
2	came	come	_	VBD	_	0	root	_	_
3	to	to	_	TO	_	5	case	_	_
4	Baton	Baton	_	NNP	_	5	compound	_	_
5	Rouge	Rouge	_	NNP	_	2	nmod	_	_
6	yesterday	yesterday	_	NN	_	2	nmod:tmod	_	_
7	to	to	_	TO	_	8	mark	_	_
8	assess	assess	_	VB	_	2	xcomp	_	_
9	the	the	_	DT	_	10	det	_	_
10	damage	damage	_	NN	_	8	dobj	_	_
11	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD came) (PP (TO to) (NP (NNP Baton) (NNP Rouge))) (NP-TMP (NN yesterday)) (S (VP (TO to) (VP (VB assess) (NP (DT the) (NN damage))))))) (. ?)))	President Bush
Easy	blogs-03-5	blogs-03	Where was the storm occurring?	Sch	"1	Where	where	_	WRB	_	5	advmod	_	_
2	was	be	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	storm	storm	_	NN	_	5	nsubj	_	_
5	occurring	occur	_	VBG	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD was) (NP (DT the) (NN storm)) (VP (VBG occurring))) (. ?)))	in Louisiana | Louisiana
Easy	blogs-03-6	blogs-03	Where did the narrator go back to in order to purchase a portable generator?	Sch	"1	Where	where	_	WRB	_	5	advmod	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	narrator	narrator	_	NN	_	5	nsubj	_	_
5	go	go	_	VB	_	0	root	_	_
6	back	back	_	RB	_	5	advmod	_	_
7	to	to	_	TO	_	11	mark	_	_
8	in	in	_	IN	_	11	mark	_	_
9	order	order	_	NN	_	8	mwe	_	_
10	to	to	_	TO	_	11	mark	_	_
11	purchase	purchase	_	VB	_	6	advcl	_	_
12	a	a	_	DT	_	14	det	_	_
13	portable	portable	_	JJ	_	14	amod	_	_
14	generator	generator	_	NN	_	11	dobj	_	_
15	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (DT the) (NN narrator)) (VP (VB go) (ADVP (RB back)) (PP (TO to)) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB purchase) (NP (DT a) (JJ portable) (NN generator)))))))) (. ?)))	a store named Home Depot | Home Depot
Easy	blogs-03-7	blogs-03	What did the area of a neighborhood of the narrator have?	Sch	"1	What	what	_	WP	_	11	dobj	_	_
2	did	do	_	VBD	_	11	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	area	area	_	NN	_	11	nsubj	_	_
5	of	of	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	neighborhood	neighborhood	_	NN	_	4	nmod	_	_
8	of	of	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	narrator	narrator	_	NN	_	7	nmod	_	_
11	have	have	_	VB	_	0	root	_	_
12	?	?	_	.	_	11	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (NP (DT the) (NN area)) (PP (IN of) (NP (NP (DT a) (NN neighborhood)) (PP (IN of) (NP (DT the) (NN narrator)))))) (VP (VB have))) (. ?)))	a large group of pine trees and had a group of oak trees
Easy	blogs-03-8	blogs-03	Why did the narrator begin to be nervous?	Sch	"1	Why	why	_	WRB	_	5	advmod	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	narrator	narrator	_	NN	_	5	nsubj	_	_
5	begin	begin	_	VB	_	0	root	_	_
6	to	to	_	TO	_	8	mark	_	_
7	be	be	_	VB	_	8	cop	_	_
8	nervous	nervous	_	JJ	_	5	xcomp	_	_
9	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBD did) (NP (DT the) (NN narrator)) (VP (VB begin) (S (VP (TO to) (VP (VB be) (ADJP (JJ nervous))))))) (. ?)))	because it owned a group of trees and near the house of the narrator
Easy	blogs-03-9	blogs-03	Where did the narrator bring the family of the narrator to?	Sch	"1	Where	where	_	WRB	_	5	advmod	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	narrator	narrator	_	NN	_	5	nsubj	_	_
5	bring	bring	_	VB	_	0	root	_	_
6	the	the	_	DT	_	7	det	_	_
7	family	family	_	NN	_	5	dobj	_	_
8	of	of	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	narrator	narrator	_	NN	_	7	nmod	_	_
11	to	to	_	TO	_	5	nmod	_	_
12	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD did) (NP (DT the) (NN narrator)) (VP (VB bring) (NP (NP (DT the) (NN family)) (PP (IN of) (NP (DT the) (NN narrator)))) (PP (TO to)))) (. ?)))	the house of the parent of the narrator
Easy	blogs-06-1	blogs-06	What broke because the broiler of the oven activated?	Sch	"1	What	what	_	WDT	_	2	nsubj	_	_
2	broke	break	_	VBD	_	0	root	_	_
3	because	because	_	IN	_	2	dep	_	_
4	the	the	_	DT	_	5	det	_	_
5	broiler	broiler	_	NN	_	3	root	_	_
6	of	of	_	IN	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	oven	oven	_	NN	_	5	nmod	_	_
9	activated	activate	_	VBN	_	8	acl	_	_
10	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WDT What)) (SQ (VP (VBD broke) (SBAR (IN because) (S (NP (NP (DT the) (NN broiler)) (PP (IN of) (NP (DT the) (NN oven)))) (VP (VBN activated)))))) (. ?)))	An oven
Easy	blogs-06-2	blogs-06	What did the oven scorch?	Sch	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	oven	oven	_	NN	_	5	nsubj	_	_
5	scorch	scorch	_	VB	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (DT the) (NN oven)) (VP (VB scorch))) (. ?)))	a group of treats | a group of treats and created some fire
Easy	blogs-06-3	blogs-06	Who unsuccessfully tried to eliminate the fire?	Sch	"1	Who	who	_	WP	_	3	nsubj	_	_
2	unsuccessfully	unsuccessfully	_	RB	_	3	advmod	_	_
3	tried	try	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	eliminate	eliminate	_	VB	_	3	xcomp	_	_
6	the	the	_	DT	_	7	det	_	_
7	fire	fire	_	NN	_	5	dobj	_	_
8	?	?	_	.	_	3	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (ADVP (RB unsuccessfully)) (VBD tried) (S (VP (TO to) (VP (VB eliminate) (NP (DT the) (NN fire))))))) (. ?)))	the husband of the narrator | the husband
Easy	blogs-06-4	blogs-06	What did the husband of the narrator quickly shut?	Sch	"1	What	what	_	WP	_	9	dobj	_	_
2	did	do	_	VBD	_	9	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	husband	husband	_	NN	_	9	nsubj	_	_
5	of	of	_	IN	_	7	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	narrator	narrator	_	NN	_	4	nmod	_	_
8	quickly	quickly	_	RB	_	9	advmod	_	_
9	shut	shut	_	VBN	_	0	root	_	_
10	?	?	_	.	_	9	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (NP (DT the) (NN husband)) (PP (IN of) (NP (DT the) (NN narrator)))) (VP (ADVP (RB quickly)) (VBN shut))) (. ?)))	The door of the oven | The door of the oven in order to prevent the fire spreading
Easy	blogs-06-5	blogs-06	Who had a fire in our old oven/range?	Story	"1	Who	who	_	WP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	fire	fire	_	NN	_	2	dobj	_	_
5	in	in	_	IN	_	8	case	_	_
6	our	we	_	PRP$	_	8	nmod:poss	_	_
7	old	old	_	JJ	_	8	amod	_	_
8	oven/range	oven/range	_	NN	_	2	nmod	_	_
9	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD had) (NP (NP (DT a) (NN fire)) (PP (IN in) (NP (PRP$ our) (JJ old) (NN oven/range)))))) (. ?)))	We
Easy	blogs-06-6	blogs-06	What malfunctioned?	Story	"1	What	what	_	WDT	_	2	nsubj	_	_
2	malfunctioned	malfunction	_	VBD	_	0	root	_	_
3	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WDT What)) (SQ (VP (VBD malfunctioned))) (. ?)))	The oven
Easy	blogs-06-7	blogs-06	What did I run and get?	Story	"1	What	what	_	WP	_	4	dobj	_	_
2	did	do	_	VBD	_	4	aux	_	_
3	I	I	_	PRP	_	4	nsubj	_	_
4	run	run	_	VB	_	0	root	_	_
5	and	and	_	CC	_	4	cc	_	_
6	get	get	_	VB	_	4	conj	_	_
7	?	?	_	.	_	4	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (PRP I)) (VP (VB run) (CC and) (VB get))) (. ?)))	A fire extinguisher
Easy	blogs-06-8	blogs-06	What was toast?	Story	"1	What	what	_	WP	_	0	root	_	_
2	was	be	_	VBD	_	1	cop	_	_
3	toast	toast	_	NN	_	1	nsubj	_	_
4	?	?	_	.	_	1	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD was) (NP (NN toast))) (. ?)))	Our stove
Easy	blogs-06-9	blogs-06	What have we been using?	Story	"1	What	what	_	WDT	_	5	dobj	_	_
2	have	have	_	VBP	_	5	aux	_	_
3	we	we	_	PRP	_	5	nsubj	_	_
4	been	be	_	VBN	_	5	aux	_	_
5	using	use	_	VBG	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WDT What)) (SQ (VBP have) (NP (PRP we)) (VP (VBN been) (VP (VBG using)))) (. ?)))	A plug-in burner, griddle, and counter top oven
Easy	fables-01-1	fables-01	Where was the crow sitting?	Story	"1	Where	where	_	WRB	_	5	advmod	_	_
2	was	be	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	crow	crow	_	NN	_	5	nsubj	_	_
5	sitting	sit	_	VBG	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD was) (NP (DT the) (NN crow)) (VP (VBG sitting))) (. ?)))	on a branch of a tree
Easy	fables-01-2	fables-01	What did the crow have in her beak?	Story	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	crow	crow	_	NN	_	5	nsubj	_	_
5	have	have	_	VBP	_	0	root	_	_
6	in	in	_	IN	_	8	case	_	_
7	her	she	_	PRP$	_	8	nmod:poss	_	_
8	beak	beak	_	NN	_	5	nmod	_	_
9	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (DT the) (NN crow)) (VP (VBP have) (PP (IN in) (NP (PRP$ her) (NN beak))))) (. ?)))	a piece of cheese
Easy	fables-01-3	fables-01	Who is the Story about?	Story	"1	Who	who	_	WP	_	0	root	_	_
2	is	be	_	VBZ	_	1	cop	_	_
3	the	the	_	DT	_	4	det	_	_
4	Story	Story	_	NNP	_	1	nsubj	_	_
5	about	about	_	IN	_	4	dep	_	_
6	?	?	_	.	_	1	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBZ is) (NP (DT the) (NNP Story)) (ADJP (IN about))) (. ?)))	A Fox and A Crow
Easy	fables-01-4	fables-01	What did the fox do to the cheese?	Sch	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	fox	fox	_	NN	_	5	nsubj	_	_
5	do	do	_	VBP	_	0	root	_	_
6	to	to	_	TO	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	cheese	cheese	_	NN	_	5	nmod	_	_
9	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (DT the) (NN fox)) (VP (VBP do) (PP (TO to) (NP (DT the) (NN cheese))))) (. ?)))	snatched | tried to discover how to get the cheese
Easy	fables-01-5	fables-01	Where was the fox standing?	Sch	"1	Where	where	_	WRB	_	5	advmod	_	_
2	was	be	_	VBD	_	5	cop	_	_
3	the	the	_	DT	_	5	det	_	_
4	fox	fox	_	NN	_	5	compound	_	_
5	standing	standing	_	NN	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD was) (NP (DT the) (NN fox) (NN standing))) (. ?)))	under the tree
Easy	fables-01-6	fables-01	What did the crow feel?	Sch	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	crow	crow	_	NN	_	5	nsubj	_	_
5	feel	feel	_	VB	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (DT the) (NN crow)) (VP (VB feel))) (. ?)))	Flattered | that the fox had flattered her
Easy	fables-01-7	fables-01	Who flattered the crow?	Sch	"1	Who	who	_	WP	_	2	nsubj	_	_
2	flattered	flatter	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	crow	crow	_	NN	_	2	dobj	_	_
5	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD flattered) (NP (DT the) (NN crow)))) (. ?)))	The fox
Easy	fables-02-1	fables-02	Who was feeding in a meadow?	Story	"1	Who	who	_	WP	_	3	nsubj	_	_
2	was	be	_	VBD	_	3	aux	_	_
3	feeding	feed	_	VBG	_	0	root	_	_
4	in	in	_	IN	_	6	case	_	_
5	a	a	_	DT	_	6	det	_	_
6	meadow	meadow	_	NN	_	3	nmod	_	_
7	?	?	_	.	_	3	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (NP (NP (VBG feeding)) (PP (IN in) (NP (DT a) (NN meadow))))) (. ?)))	a fat bull
Easy	fables-02-2	fables-02	Who was persuaded by this flattery?	Story	"1	Who	who	_	WP	_	3	nsubjpass	_	_
2	was	be	_	VBD	_	3	auxpass	_	_
3	persuaded	persuade	_	VBN	_	0	root	_	_
4	by	by	_	IN	_	6	case	_	_
5	this	this	_	DT	_	6	det	_	_
6	flattery	flattery	_	NN	_	3	nmod	_	_
7	?	?	_	.	_	3	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (VP (VBN persuaded) (PP (IN by) (NP (DT this) (NN flattery))))) (. ?)))	the bull
Easy	fables-02-3	fables-02	Where was the bull?	Sch	"1	Where	where	_	WRB	_	2	advmod	_	_
2	was	be	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	bull	bull	_	NN	_	2	nsubj	_	_
5	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBD was) (NP (DT the) (NN bull))) (. ?)))	in a meadow
Easy	fables-02-4	fables-02	Who was grazing?	Sch	"1	Who	who	_	WP	_	0	root	_	_
2	was	be	_	VBD	_	1	cop	_	_
3	grazing	grazing	_	NN	_	1	nsubj	_	_
4	?	?	_	.	_	1	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (NP (NN grazing))) (. ?)))	the bull
Easy	fables-02-5	fables-02	Who watched the bull?	Sch	"1	Who	who	_	WP	_	2	nsubj	_	_
2	watched	watch	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	bull	bull	_	NN	_	2	dobj	_	_
5	?	?	_	.	_	2	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VP (VBD watched) (NP (DT the) (NN bull)))) (. ?)))	a lion
Easy	fables-02-6	fables-02	What did the lion feign?	Sch	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	lion	lion	_	NN	_	5	nsubj	_	_
5	feign	feign	_	VB	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (DT the) (NN lion)) (VP (VB feign))) (. ?)))	that the lion was friendly
Easy	fables-02-7	fables-02	Who is the story about?	Story	"1	Who	who	_	WP	_	0	root	_	_
2	is	be	_	VBZ	_	1	cop	_	_
3	the	the	_	DT	_	4	det	_	_
4	story	story	_	NN	_	1	nsubj	_	_
5	about	about	_	IN	_	4	nmod	_	_
6	?	?	_	.	_	1	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBZ is) (NP (DT the) (NN story)) (ADJP (IN about))) (. ?)))	a lion and a bull
Easy	fables-02-8	fables-02	Who was foolish?	Story	"1	Who	who	_	WP	_	0	root	_	_
2	was	be	_	VBD	_	1	cop	_	_
3	foolish	foolish	_	JJ	_	1	nsubj	_	_
4	?	?	_	.	_	1	punct	_	_"	(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (ADJP (JJ foolish))) (. ?)))	the bull
Easy	fables-02-9	fables-02	What did the lion want?	Sch	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	lion	lion	_	NN	_	5	nsubj	_	_
5	want	want	_	VB	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (DT the) (NN lion)) (VP (VB want))) (. ?)))	to eat the bull
Easy	fables-02-10	fables-02	Why did not the lion attack the bull?	Sch	"1	Why	why	_	WRB	_	6	advmod	_	_
2	did	do	_	VBD	_	6	aux	_	_
3	not	not	_	RB	_	6	neg	_	_
4	the	the	_	DT	_	6	det	_	_
5	lion	lion	_	NN	_	6	compound	_	_
6	attack	attack	_	NN	_	0	root	_	_
7	the	the	_	DT	_	8	det	_	_
8	bull	bull	_	NN	_	6	dobj	_	_
9	?	?	_	.	_	6	punct	_	_"	(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBD did) (RB not) (NP (DT the) (NN lion) (NN attack))) (FRAG (X (DT the)) (NP (NN bull))) (. ?)))	because the lion feared sharp every horn of the bull
Easy	fables-02-11	fables-02	What did the lion fear?	Sch	"1	What	what	_	WP	_	5	dobj	_	_
2	did	do	_	VBD	_	5	aux	_	_
3	the	the	_	DT	_	4	det	_	_
4	lion	lion	_	NN	_	5	nsubj	_	_
5	fear	fear	_	NN	_	0	root	_	_
6	?	?	_	.	_	5	punct	_	_"	(ROOT (SBARQ (WHNP (WP What)) (SQ (VP (VBD did) (NP (DT the) (NN lion) (NN fear)))) (. ?)))	sharp every horn of the bull
